employee_id,name,department,team,experience,task_type,estimated_hours,actual_hours,accuracy,number_of_returns
E001,0,R,R_TEAM_1,2,Orders,4,4.3,92.5,1
E001,0,R,R_TEAM_1,2,Notifications,4,4.1,97.50000000000001,2
E001,0,R,R_TEAM_1,2,Unit Testing,16,17.9,88.12500000000001,1
E001,0,R,R_TEAM_1,2,Landing Page,5,5.7,86.0,1
E001,0,R,R_TEAM_1,2,Authentication,5,6.1,78.0,3
E001,0,R,R_TEAM_1,2,Payment,8,7.5,93.75,0
E001,0,R,R_TEAM_1,2,Authentication,16,20.3,73.125,4
E001,0,R,R_TEAM_1,2,Database Design,5,5.6,88.0,1
E001,0,R,R_TEAM_1,2,Bug Fix,16,20.1,74.375,3
E001,0,R,R_TEAM_1,2,Orders,4,3.7,92.5,0
E001,0,R,R_TEAM_1,2,Notifications,13,14.0,92.3076923076923,1
E001,0,R,R_TEAM_1,2,Database Design,13,14.2,90.76923076923077,2
E001,0,R,R_TEAM_1,2,Products,7,6.4,91.42857142857143,0
E001,0,R,R_TEAM_1,2,Landing Page,10,10.5,95.0,1
E001,0,R,R_TEAM_1,2,Cart,15,12.8,85.33333333333334,0
E001,0,R,R_TEAM_1,2,Dashboard,14,16.0,85.71428571428572,1
E001,0,R,R_TEAM_1,2,Bug Fix,8,7.9,98.75,0
E001,0,R,R_TEAM_1,2,Unit Testing,10,9.3,93.00000000000001,0
E001,0,R,R_TEAM_1,2,Profile,15,19.1,72.66666666666666,3
E001,0,R,R_TEAM_1,2,Notifications,12,14.9,75.83333333333333,3
E002,1,R,R_TEAM_1,5,Profile,14,15.7,87.85714285714286,2
E002,1,R,R_TEAM_1,5,Bug Fix,6,6.1,98.33333333333334,1
E002,1,R,R_TEAM_1,5,Notifications,2,2.6,70.0,4
E002,1,R,R_TEAM_1,5,UI Integration,10,11.8,82.0,4
E002,1,R,R_TEAM_1,5,Admin Panel,16,13.7,85.625,0
E002,1,R,R_TEAM_1,5,Payment,15,16.8,88.0,2
E002,1,R,R_TEAM_1,5,Cart,4,3.9,97.5,0
E002,1,R,R_TEAM_1,5,UI Integration,10,12.8,72.0,3
E002,1,R,R_TEAM_1,5,Authentication,16,12.8,80.0,0
E002,1,R,R_TEAM_1,5,API Development,9,7.3,81.11111111111111,0
E002,1,R,R_TEAM_1,5,Admin Panel,16,20.7,70.625,4
E002,1,R,R_TEAM_1,5,Dashboard,5,4.1,82.0,0
E002,1,R,R_TEAM_1,5,Dashboard,3,3.5,83.33333333333334,3
E002,1,R,R_TEAM_1,5,Products,14,14.9,93.57142857142857,2
E002,1,R,R_TEAM_1,5,Unit Testing,4,4.5,87.5,2
E002,1,R,R_TEAM_1,5,Deployment,4,3.7,92.5,0
E002,1,R,R_TEAM_1,5,Payment,5,6.3,74.0,4
E002,1,R,R_TEAM_1,5,API Development,13,12.4,95.38461538461539,0
E002,1,R,R_TEAM_1,5,Bug Fix,9,11.2,75.55555555555557,4
E002,1,R,R_TEAM_1,5,Dashboard,3,2.8,93.33333333333333,0
E003,2,R,R_TEAM_1,3,Unit Testing,7,5.7,81.42857142857143,0
E003,2,R,R_TEAM_1,3,Login,5,5.5,90.0,2
