employee_id,name,department,team,experience,accuracy,number_of_returns,experience_score,return_score,performance_score
E014,Employee_14,Graphes,G_TEAM_1,6,87.840786990787,1.1,75.0,48.837209302325576,73.57
E015,Employee_15,Graphes,G_TEAM_1,7,86.23034951159951,1.25,87.5,41.860465116279066,73.17
E012,Employee_12,Graphes,G_TEAM_1,6,88.56909201909203,1.2,75.0,44.18604651162791,72.54
E019,Employee_19,Graphes,G_TEAM_2,7,86.44346486846487,1.7,87.5,20.930232558139537,67.0
E016,Employee_16,Graphes,G_TEAM_2,6,85.04949633699634,1.7,75.0,20.930232558139537,63.8
E018,Employee_18,Graphes,G_TEAM_2,2,85.7199932012432,1.3,25.0,39.534883720930225,59.72
E017,Employee_17,Graphes,G_TEAM_2,1,87.49078282828283,1.35,12.5,37.20930232558138,57.41
E013,Employee_13,Graphes,G_TEAM_1,4,85.02640207015207,1.8,50.0,16.279069767441854,57.4
E020,Employee_20,Graphes,G_TEAM_2,5,86.12767857142858,2.1,62.5,2.3255813953488342,56.26
E011,Employee_11,Graphes,G_TEAM_1,3,85.5912087912088,2.15,37.5,0.0,50.3
E026,Employee_26,Quality_Control,CQ_TEAM_2,8,89.72032967032968,1.1,100.0,48.837209302325576,79.51
E028,Employee_28,Quality_Control,CQ_TEAM_2,6,88.58310578310578,0.95,75.0,55.81395348837209,76.04
E021,Employee_21,Quality_Control,CQ_TEAM_1,6,87.12566045066045,1.2,75.0,44.18604651162791,71.82
E027,Employee_27,Quality_Control,CQ_TEAM_2,6,88.8707695082695,1.4,75.0,34.88372093023257,69.9
E024,Employee_24,Quality_Control,CQ_TEAM_1,2,90.0328601953602,0.75,25.0,65.11627906976744,69.55
E023,Employee_23,Quality_Control,CQ_TEAM_1,4,89.55386904761905,1.15,50.0,46.51162790697675,68.73
E029,Employee_29,Quality_Control,CQ_TEAM_2,5,86.38519536019535,1.45,62.5,32.55813953488372,65.46
E030,Employee_30,Quality_Control,CQ_TEAM_2,2,85.81849747474747,1.5,25.0,30.232558139534888,56.98
E022,Employee_22,Quality_Control,CQ_TEAM_1,2,84.19005716505717,1.8,25.0,16.279069767441854,51.98
E025,Employee_25,Quality_Control,CQ_TEAM_1,2,83.98581418581418,1.8,25.0,16.279069767441854,51.88
E009,Employee_9,R,R_TEAM_2,5,86.74417735042735,1.2,62.5,44.18604651162791,69.13
E006,Employee_6,R,R_TEAM_2,4,84.41374458874459,1.2,50.0,44.18604651162791,65.46
E003,Employee_3,R,R_TEAM_1,3,87.75992063492063,1.4,37.5,34.88372093023257,61.85
E008,Employee_8,R,R_TEAM_2,7,85.31643495393496,2.05,87.5,4.651162790697683,61.55
E002,Employee_2,R,R_TEAM_1,5,84.51149267399268,1.75,62.5,18.604651162790702,60.34
E001,Employee_1,R,R_TEAM_1,2,87.23390567765568,1.35,25.0,37.20930232558138,59.78
E005,Employee_5,R,R_TEAM_1,1,86.68425949050949,1.2,12.5,44.18604651162791,59.1
E004,Employee_4,R,R_TEAM_1,2,88.0175172050172,1.5,25.0,30.232558139534888,58.08
E010,Employee_10,R,R_TEAM_2,1,85.251843989344,1.8,12.5,16.279069767441854,50.01
E007,Employee_7,R,R_TEAM_2,1,86.67956071706071,1.9,12.5,11.627906976744185,49.33
